country,gdp_2012,gdp_2013
Aruba,,
Andorra,,
Afghanistan,417.0550423,424.3659397
Angola,2644.553324,2668.459802
Albania,3994.213856,4087.075966
Andean Region,,
Arab World,4567.68544,4613.455717
United Arab Emirates,24077.73241,
Argentina,,
Armenia,2237.228245,2309.7085
American Samoa,,
Antigua and Barbuda,11504.83545,11461.56197
Australia,37175.44341,37492.8514
Austria,40058.38376,39978.41201
Azerbaijan,3114.562475,3252.827803
Burundi,153.1426988,155.0624422
Belgium,36557.51008,36410.5263
Benin,567.9137757,583.8709393
Burkina Faso,492.7552028,510.2144281
Bangladesh,597.0206457,625.3434838
Bulgaria,4624.686944,4692.434618
Bahrain,16765.47915,17495.47299
"Bahamas, The",21083.64754,
Bosnia and Herzegovina,3359.15595,3375.472512
Belarus,4873.375207,4915.931017
Belize,4154.328513,4084.117023
Bermuda,70600.97638,
Bolivia,1259.813782,1323.124571
Brazil,5730.249146,5823.043784
Barbados,14349.55272,
Brunei Darussalam,24947.10096,24184.67169
Bhutan,1972.203724,2037.159413
Botswana,6693.745913,7028.052034
Sub-Saharan Africa (IFC classification),,
Central African Republic,450.4160712,282.5710657
Canada,37208.15131,37524.31519
East Asia and the Pacific (IFC classification),,
Central Europe and the Baltics,10002.26653,10142.6124
Europe and Central Asia (IFC classification),,
Switzerland,54996.05311,55469.27038
Channel Islands,,
Chile,9430.496585,9728.481224
China,3344.544691,3583.375886
Cote d'Ivoire,955.6281878,1014.403299
Latin America and the Caribbean (IFC classification),,
Middle East and North Africa (IFC classification),,
Cameroon,963.9674448,991.6533696
"Congo, Rep.",1943.690543,1960.578688
Colombia,4251.987225,4376.398782
Comoros,606.0092599,612.4651386
Cabo Verde,2749.481804,2738.311033
Costa Rica,5720.450953,5839.251911
South Asia (IFC classification),,
Caribbean small states,7536.634843,
Cuba,,
Curacao,,
Cayman Islands,,
Cyprus,21785.08083,20516.78252
Czech Republic,14236.55186,14089.24327
Germany,38219.82916,38291.6245
Djibouti,1143.604435,1182.515958
Dominica,6251.218373,6175.567927
Denmark,46254.88712,46264.6697
Dominican Republic,5053.924573,5195.068782
Algeria,3215.206987,3240.832228
East Asia & Pacific (developing only),2854.649869,3036.517358
East Asia & Pacific (all income levels),6025.356257,6236.213315
Europe & Central Asia (developing only),4738.534414,4878.55944
Europe & Central Asia (all income levels),19483.34343,19496.30757
Ecuador,3568.186472,3652.999362
"Egypt, Arab Rep.",1559.615266,1566.438593
Euro area,32022.01479,31809.0226
Eritrea,200.4480388,196.6330662
Spain,24816.67337,24573.06431
Estonia,11943.45096,12046.33174
Ethiopia,268.8657134,289.2474237
European Union,28937.70845,28906.3388
Fragile and conflict affected situations,808.4116139,798.6333856
Finland,38383.1091,37676.61112
Fiji,3608.734924,3680.831095
France,34250.16611,34140.56797
Faeroe Islands,,
"Micronesia, Fed. Sts.",2442.689701,2454.830902
Gabon,6709.073278,6937.712888
United Kingdom,37569.76383,37985.41896
Georgia,2084.113138,2156.941677
Ghana,730.2240758,766.0507865
Guinea,308.1970026,307.9966953
"Gambia, The",444.4092398,454.7651105
Guinea-Bissau,408.7278129,399.9849061
Equatorial Guinea,11880.73572,10990.44921
Greece,18771.02909,18146.2614
Grenada,6232.703971,6321.945367
Greenland,,
Guatemala,2315.142843,2340.775504
Guam,,
Guyana,1276.802138,1337.697213
High income,31543.49299,31792.74019
"Hong Kong SAR, China",32728.79025,33534.2779
Honduras,1569.09148,1577.154687
Heavily indebted poor countries (HIPC),510.5006749,520.9509787
Croatia,10523.31956,10454.48487
Haiti,460.2093429,473.2978726
Hungary,10981.56595,11128.22938
Indonesia,1732.181307,1810.312336
Isle of Man,,
India,1123.202324,1164.996258
Not classified,,
Ireland,45355.77078,45119.26907
"Iran, Islamic Rep.",3369.117725,3131.798632
Iraq,2472.21512,2505.385898
Iceland,53222.78147,54570.43071
Israel,23091.39623,23414.97934
Italy,29053.94501,28376.38048
Jamaica,,
Jordan,2838.55838,2855.137418
Japan,36800.92231,37432.84075
Kazakhstan,5192.570249,5424.625179
Kenya,594.8280243,606.2050619
Kyrgyz Republic,576.9265911,625.1852408
Cambodia,671.9620631,709.1817512
Kiribati,1159.978706,1176.19859
St. Kitts and Nevis,10406.39042,10490.99085
"Korea, Rep.",23303.01078,23892.5312
Kosovo,2836.594189,2894.787948
Kuwait,29728.61587,
Latin America & Caribbean (developing only),5761.23544,5834.626227
Lao PDR,707.4076461,751.0331322
Lebanon,7244.986251,7240.658415
Liberia,275.6845029,299.4491726
Libya,6925.407805,6228.972797
St. Lucia,5998.174205,5920.260761
Latin America & Caribbean (all income levels),6013.069761,6092.756862
Latin America and the Caribbean,,
Least developed countries: UN classification,524.082408,535.4854099
Low income,439.6462003,454.8460514
Liechtenstein,,
Sri Lanka,1883.00279,2004.255223
Lower middle income,1217.892592,1260.524966
Low & middle income,2397.47614,2479.26223
Lesotho,934.0932208,978.275362
Lithuania,10108.77948,10549.1836
Luxembourg,77971.29554,77840.50307
Latvia,8425.668132,8863.159515
"Macao SAR, China",49177.09776,54091.53187
St. Martin (French part),,
Morocco,2462.174559,2532.183882
Mexico and Central America,,
Monaco,,
Moldova,1043.217047,1136.229034
Madagascar,267.1537466,265.2477466
Maldives,4841.985345,4926.052877
Middle East & North Africa (all income levels),5222.730029,5224.830492
Mexico,8532.347803,8519.001632
Marshall Islands,2918.066632,2933.111394
Middle income,2727.68418,2824.505924
"Macedonia, FYR",3472.311317,3577.263532
Mali,480.2040359,476.1611132
Malta,16412.66496,16735.93783
Myanmar,,
Middle East & North Africa (developing only),2551.085139,2497.205653
Montenegro,4543.80386,4700.551357
Mongolia,1631.305656,1795.526752
Northern Mariana Islands,,
Mozambique,416.829712,435.7298997
Mauritania,824.9055898,858.9636729
Mauritius,6497.850972,6679.213082
Malawi,258.9560185,264.2480444
Malaysia,6786.185307,6990.252127
North America,44535.74442,45033.37988
Namibia,4473.71714,4581.745093
New Caledonia,,
Niger,289.5780542,289.4255966
Nigeria,1030.167603,1055.836611
Nicaragua,1326.153631,1366.990107
Netherlands,40639.64954,40187.12117
High income: nonOECD,13040.92182,13269.35265
Norway,65616.50153,65188.51794
Nepal,398.7730724,409.0438799
New Zealand,28678.59353,29146.09072
High income: OECD,35961.72085,36231.09515
OECD members,31500.43868,31712.82759
Oman,13881.61048,13306.88571
Other small states,3472.422584,3529.571297
Pakistan,772.8952047,806.3826092
Panama,7259.694116,7740.061597
Peru,3892.262138,4066.268555
Philippines,1501.069517,1581.012383
Palau,9665.561753,9558.059127
Papua New Guinea,1076.380711,1110.605163
Poland,10584.7998,10752.82
Puerto Rico,19612.54097,19695.96456
"Korea, Dem. Rep.",,
Portugal,17918.41253,17761.92313
Paraguay,1717.887096,1917.728821
Pacific island small states,2554.87721,2578.760334
French Polynesia,,
Qatar,58524.00203,58406.46485
Romania,5834.418171,6072.842811
Russian Federation,6848.69737,6923.446816
Rwanda,380.9993112,387.6639219
South Asia,1021.465701,1060.66291
Saudi Arabia,17706.10777,18033.68528
Southern Cone Extended,,
Sudan,837.2901911,771.07842
Senegal,797.4335442,805.804954
Singapore,36110.12912,36897.87413
Solomon Islands,1103.83079,1112.846251
Sierra Leone,435.4056384,513.1927803
El Salvador,3033.081349,3062.968615
San Marino,,
Somalia,,
Serbia,3873.057207,3987.622196
Sub-Saharan Africa (developing only),989.5177738,1000.614149
South Sudan,,
Sub-Saharan Africa (all income levels),998.3231048,1008.697895
Small states,4417.447846,4482.492095
Sao Tome and Principe,974.3680483,987.6407351
Suriname,4478.762778,4636.686247
Slovak Republic,14942.87725,15065.31041
Slovenia,18592.87723,18357.46426
Sweden,43830.57983,44208.40207
Swaziland,2399.458319,2429.745552
Sint Maarten (Dutch part),,
Seychelles,13889.94958,14235.84006
Syrian Arab Republic,,
Turks and Caicos Islands,,
Chad,737.5495559,741.6322422
Togo,414.2697098,424.3518576
Thailand,3389.577241,3437.841215
Tajikistan,458.6208503,480.6260031
Turkmenistan,3269.673054,3556.981369
Timor-Leste,774.1694755,816.1677443
Tonga,2658.133626,2661.735204
Trinidad and Tobago,14183.16579,14370.22149
Tunisia,3925.050886,3994.889301
Turkey,8483.333976,8716.681306
Tuvalu,2623.881334,2648.446347
Tanzania,483.8178897,502.0766501
Uganda,405.3429197,414.75909
Ukraine,2094.120138,2138.275806
Upper middle income,4321.632816,4487.543577
Uruguay,7505.78659,7808.626661
United States,45341.72624,45863.01956
Uzbekistan,845.8065902,899.3767704
St. Vincent and the Grenadines,5458.774557,5613.423384
"Venezuela, RB",6412.027073,6401.905166
Virgin Islands (U.S.),,
Vietnam,986.0137631,1028.630281
Vanuatu,2098.156088,2109.949206
West Bank and Gaza,1464.627105,
World,7772.144469,7850.170372
Samoa,2356.747484,2329.425649
"Yemen, Rep.",729.1623535,742.1955912
South Africa,5885.218461,5916.462561
"Congo, Dem. Rep.",273.020671,288.2410482
Zambia,797.9291174,821.5601305
Zimbabwe,446.7412297,441.1477052
Viet_Camb_Thai,1682.517689,1725.217749
Scandinavia,48521.2694,48334.55021
Latin,6013.069761,6092.756862
Eastern Europe,4738.534414,4878.55944
Middle Eastern,5222.730029,5224.830492
Mediterranean,5222.730029,5224.830492
